AQW00061705         324C   301C   335C   312C   302C   269C   256C   257C   270C   290C   298C   321C
USC00231275           0R     0R -7777R     2R    13R    84R   158R   127R    35R     3R     0R     0R
USC00231340           0C     0C -7777C     2C    16S   100C   196C   165C    42C     2S -7777C     0S
USC00231356           0R -7777R -7777R     5R    24R   115R   246R   226R    68R     4R -7777R     0R
USC00231364           0R     0R -7777R     5R    44R   169R   258R   218R    81R    10R -7777R     0R
USC00231383           0R     0R -7777R     1R    11R    57R   144R   147R    37R     2R -7777R     0R
USC00231540           0R     0R     1R     5R    34R   142R   236R   205R    65R     4R -7777R     0R
USC00231580           0R     0R -7777S     2S    20R   112S   213S   173S    45R     4R -7777R     0R
USC00231600           0Q     0Q -7777Q     2Q    16Q    91Q   174Q   147Q    40Q     2Q     0Q     0Q
USC00231640           0R     0R -7777R     1R    16R    91R   182R   160R    37R     2R -7777R     0R
USC00231674           0R     0S -7777S     4S    22S   122C   225S   193S    52R     2R -7777R     0R
USC00231711           0S     0S -7777S     2S    19S   102S   210S   191S    54S     3S -7777S     0S
USC00231748           0Q     0Q     0Q     2Q     7Q    68Q   176Q   170Q    31Q     4Q     0Q     0Q
USC00231801           0R     0R -7777R     4R    23R   117R   231R   195R    50R     5R -7777R     0R
USC00231822           0R     0R -7777R     1R    11R    73R   152R   125R    30R     2R     0R     0R
USC00232240           0R     0R -7777R     3R    19R    94R   194R   198R    55R     3R -7777R     0R
USC00232289           0S     0R -7777R     2S    17S   110S   205C   182C    50C     3S -7777S     0R
USC00232302           0R     0R -7777R     1R     6R    58S   148S   143R    35R     2R     0R     0R
USC00232503           0R     0R -7777R     4R    19S   106S   221S   199S    57S     3S -7777S     0R
USC00232511           0S     0S -7777S     2S    14R    91S   204S   193S    58S     4S -7777S     0S
USC00232568           0R     0R     0R -7777R    10R    71R   168R   155R    36R     2R     0R     0R
USC00232591           0S     0S -7777S     5S    22S   112S   192S   157S    47S     3S -7777S     0S
USC00232619           0Q     0Q -7777Q     3Q    10Q    92Q   214Q   193Q    41Q     3Q     0Q     0Q
USC00232809           0R     0S -7777S     3S    12S    83S   162S   140S    34S     2S -7777S     0S
USC00232850           0R     0R -7777R     4R    13R    82R   174R   147R    39R     3R -7777R     0R
USC00232981           0Q     0Q     0Q     2Q     2Q    49Q   142Q   146Q    20Q     2Q     0Q     0Q
USC00233038           0R     0R -7777R     2R    12R    84R   163R   139R    37R     2R -7777R     0R
USC00233043           0R     0R -7777R     2R    10R    68R   161R   143R    36R     2R     0R     0R
USC00233079           0S     0S -7777S     2S    10S    70S   158S   140S    37S     2S     0S     0S
USC00233094           0R     0R -7777R     2R    10R    74R   177R   171R    45R     2R -7777R     0R
USC00233102           0R     0R -7777R     2R    13R    72R   158R   131R    31R     2R     0R     0R
USC00233162           0Q     0Q -7777Q     1Q    11Q    77Q   184Q   178Q    39Q     2Q -7777Q     0Q
USC00233369           0R     0R     0R     1R     6R    51R   122R   109R    26R     1R     0R     0R
USC00233416           0Q     0Q -7777Q     1Q     4Q    46Q   125Q    95Q    11Q     2Q     0Q     0Q
USC00233451           0R     0R -7777R     1R     9R    79R   151R   130R    42R     3R -7777R     0R
USC00233483           0R     0R -7777R     1R    12R    72R   163R   152R    41R     1R -7777R     0R
USC00233568           0R     0R     0S     1S     7S    56S   134S   114S    26S     1S -7777S     0R
USC00233601           0S     0S -7777S     2S    13S    82S   155S   126S    35S     2S     0S     0S
USC00233838           0R     0R     0R -7777R    14R    81R   168R   138R    34R     3R     0R     0R
USC00234019           0R     0R -7777R     3R    14R    78R   163R   149R    45R     2R -7777R     0R
USC00234154           0R     0R     0R     1R    17R    83R   198R   172R    43R     3R -7777R     0R
USC00234226           0R     0R -7777R     2R    30S   142S   238S   207S    58S     4S -7777S     0S
USC00234271           0S     0S -7777S     3S    17S   101S   202S   180S    52S     3S -7777S     0S
USC00234382           0Q     0Q -7777Q -7777Q    17Q    80Q   180Q   147Q    31Q     4Q     0Q     0Q
USC00234417           0S     0S -7777S     7S    49C   188S   273S   243S    88S     9S -7777R     0R
USC00234544           0S     0S     0S -7777S     7S    55S   130S   105S    25S     2S     0S     0S
USC00234694           0S     0S -7777S     2S    14S    90S   196S   183S    51S     3S -7777S     0S
USC00234705           0S     0S -7777S     3S    18S   104S   219S   208S    64S     4S -7777S     0S
USC00234825           0S     0S -7777S     1S    14S    78S   178S   171S    41S     2S -7777S     0S
USC00234850           0S     0S -7777S     1S    13S    84S   174S   157S    43S     2S     0S     0S
USC00234904           0S     0S -7777S     3S    15S   100S   193S   169S    48S     3S -7777S     0S
USC00234919           0S     0S -7777S     2S    13S    77S   169S   159S    41S     2S     0S     0S
USC00234982           0Q     0Q     0Q -7777Q     6Q    57Q   150Q   132Q    20Q     2Q     0Q     0Q
USC00235027           0S     0S -7777S     1S    14S    87S   195S   183S    53S     3S -7777S     0S
USC00235050           0R     0R -7777R     1R    14R    78R   171R   136R    34R     3R -7777R     0R
USC00235207           0S     0S -7777S     3S    41S   179S   268S   229S    78S     6S -7777R     0S
USC00235227           0S     0R     0S     1S    11S    71S   174S   172S    39S     2S -7777S     0R
USC00235253           0S     0S -7777S     2S    16S   100S   177S   161S    46S     3S -7777S     0S
USC00235307           0C     0C -7777C     1C    12C    73C   169C   169C    42C     2C -7777C     0C
USC00235340           0S     0S -7777S     1S    10S    73S   149S   114S    29S     3S -7777S     0S
USC00235492           0R     0R     0R -7777R     9R    59R   131R   103R    21S     1R     0R     0R
USC00235541           0R     0S -7777R     3S    13S    94S   183S   157S    46R     3R -7777S     0R
USC00235671           0S     0S -7777S     2S    11S    78S   168S   141S    37S     2S     0S     0S
USC00235704           0S     0S -7777S     1S    12S    76S   185S   189S    53S     3S -7777S     0S
USC00235708           0Q     0Q     0Q     3Q    10Q    98Q   177Q   154Q    49Q     2Q     0Q     0Q
USC00235834           0S     0S -7777S     1S     9S    69S   158S   158S    39S     1S     0S     0S
USC00235862           0S -7777S -7777S     2S    14S    87S   192S   191S    54S     3S -7777S     0S
USC00235950           0Q     0Q     0Q -7777Q    10Q   136Q   226Q   187Q    42Q     4Q -7777Q     0Q
USC00235976           0S     0S -7777S     4S    16S    85S   185S   182R    51R     3S -7777S     0S
USC00235987           0S     0C -7777C     5S    27S   131C   246C   230C    73C     5C -7777C     0C
USC00236012           0S     0S -7777S     1S    14S    84S   174S   148S    37S     2S -7777S     0S
USC00236045           0S     0S -7777S     4S    46S   175S   276S   239S    85S     8S -7777S     0R
USC00236302           0R     0R -7777R -7777R     3R    23R   101R    77R     9R -7777R     0R     0R
USC00236357           0R     0R     0R     2R    18R    82R   168R   140R    37R     4R     0R     0R
USC00236402           0R     0S -7777S     4S    26S   121S   243S   226S    63S     4S -7777S     0S
USC00236460           0S     0S -7777S     1S    12S    90S   179S   167S    42S     1S -7777S     0S
USC00236641           0R     0S -7777R     2R    18R   104S   179S   144S    42S     3S -7777R     0R
USC00236745           0R     0R -7777R     1R    15R    87R   196R   172R    44R     3R     0R     0R
USC00236777           0R     0R -7777S     2C    18S   100C   210C   193C    57C     4C -7777R     0R
USC00236791           0S     0S -7777S     3S    34S   161S   256S   218S    70S     5S -7777S     0S
USC00236804           0S     0S -7777S     4S    46S   170S   253S   212S    76S     8S -7777S     0S
USC00236826           0R     0R -7777R     4R    12R    74R   159R   143R    39R     3R -7777R     0R
USC00236866           0R     0R -7777S     1R    12R    79R   172R   145R    37R     2R -7777R     0R
USC00237116           0Q     0Q     0Q -7777Q     5Q    70Q   178Q   153Q    22Q     1Q     0Q     0Q
USC00237263           0S     0S -7777S     4S    19S    99S   205S   185S    52S     3S -7777S     0S
USC00237300           0R     0R -7777R     1R     7R    60R   136R   123R    25R     1R -7777R     0R
USC00237309           0Q     0Q -7777Q     2Q     7Q    74Q   163Q   146Q    27Q     1Q -7777Q     0Q
USC00237397           0S     0S -7777S     3S    19S    98S   179S   143S    40S     3S -7777S     0S
USC00237398           0C -7777C -7777S     6S    28S   127S   217S   178S    56C     4S -7777S     0C
USC00237452           0R -7777R     1R     9R    38R   153R   255R   226R    78R     9R -7777R     0R
USC00237475           0R     0R -7777R     3R    19R   106R   198R   171R    52R     3R -7777R     0R
USC00237506           0S     0S -7777S     5C    24S   109S   213S   200S    57S     4S -7777S     0S
USC00237514           0C     0C -7777C     3S    16S    94C   177C   150C    45C     4S -7777C     0S
USC00237578           0S     0S -7777S     4S    21S   113S   210S   179S    53S     4S -7777S     0S
USC00237632           0C     0C -7777C     2C    12C    81C   169C   146C    38C     3C -7777S     0C
USC00237645           0R     0R -7777R     1R     6R    47R   136R   138R    36R     2R     0R     0R
USC00237656           0Q     0Q -7777Q     4Q    15Q   109Q   231Q   223Q    59Q     5Q -7777Q     0Q
USC00237720           0R     0R     0R     1R    12R    70R   150R   119R    27R     2R     0R     0R
USC00237772           0R     0R -7777R     7R    63R   202R   292R   247R    89R     9R -7777R     0R
USC00237862           0R     0R -7777R     2R    15R    86R   194R   167R    42R     4R -7777R     0R
USC00237963           0S     0S     0S     1R    10S    71S   154S   125S    29S     2S -7777S     0S
USC00238043           0R     0R -7777R     3R    11R    59R   137R   117R    31R     1R -7777R     0R
USC00238051           0S     0S -7777S     3S    17S    95S   184S   154S    48S     4S -7777S     0S
USC00238082           0R     0S -7777S     1S    18S   103S   215S   207S    61S     3S -7777S     0S
USC00238184           0S     0S -7777R     1S     9S    69S   158S   143S    32S     1S -7777S     0R
USC00238223           0S     0C -7777C     2C    15C    92S   192C   168C    45C     3C -7777S     0S
USC00238444           0R     0R     0R -7777R    13R    85R   173R   143R    32R     2R     0R     0R
USC00238466           0R -7777R -7777S     1S    17S   105R   221S   197S    55S     3S -7777S     0R
USC00238515           0S -7777S     1S     5S    21S   114S   221S   194S    55S     3S -7777S     0S
USC00238523           0R     0R     0R -7777R     6R    52R   147R   119R    25R     3R     0R     0R
USC00238571           0R     0R -7777R     4R    17R    79R   160R   164R    57R     2R -7777R     0R
USC00238577           0R     0S -7777S     1S    12S    79S   158S   131S    33S     2S     0S     0R
USC00238583           0Q     0Q     0Q     1Q     5Q    66Q   162Q   160Q    32Q     1Q -7777Q     0Q
USC00238603           0S     0S -7777S     2S     9S    64S   156S   142S    34S     1S -7777S     0S
USC00238620           0S -7777S     2S     8S    33S   132S   242S   222S    73S     5R -7777S     0R
USC00238664           0Q     0Q     0Q     3Q    18Q   117Q   233Q   231Q    57Q     5Q -7777Q     0Q
USC00238700           0R     0S -7777S     3S    29C   151S   256C   227S    74S     5S -7777S     0R
USC00238712           0R     0R -7777R     2R    15R    88R   190R   169R    44R     3R -7777R     0R
USC00238725           0R     0R -7777R     2R     9R    75R   168R   142R    34R     3R -7777R     0R
USC00238754           0R     0R -7777R     1R    10R    67R   151R   151R    37R     1R     0R     0R
USC00238777           0S     0S -7777S     2S     8S    53S   133S   132S    31S     2S -7777S     0S
USC00238805           0R -7777R -7777R     4R    17S    94S   176S   150S    43R     3R -7777R     0R
USC00238880           0R     0R -7777R     1R     8R    74R   174S   165S    42S     2R -7777R     0R
USC00238995           0R     0R -7777R     1R     9R    71R   171R   167R    49R     2R -7777R     0R
USC00239032           0R     0R -7777R     2R    17R   101R   209R   178R    51R     2R     0R     0R
USC00239178           0Q     0Q     0Q -7777Q    10Q   100Q   188Q   159Q    28Q     2Q     0Q     0Q
USC00240075           0Q     0Q     0Q     0Q -7777Q     2Q    23Q    15Q -7777Q     0Q     0Q     0Q
USC00240088           0R     0R     0R     0R     1R    16R    91R    67R     8R -7777R     0R     0R
USC00240110           0S     0S     0S     0S -7777S -7777S     5S     2S -7777S     0S     0S     0S
USC00240199           0S     0S     0S     0S -7777S -7777S     8S     3S -7777S     0S     0S     0S
USC00240364           0R     0R     0R     0R -7777S     2S    15S     8S     1S     0R     0R     0R
USC00240375           0S     0S     0S     0S     0S -7777S     5S     2S -7777S     0S     0S     0S
USC00240392           0R     0R     0S     0S     0S -7777S     1R -7777S     0R     0R     0R     0R
USC00240412           0Q     0Q     0Q -7777Q     2Q    17Q    72Q    63Q     9Q -7777Q     0Q     0Q
USC00240432           0R     0R     0R -7777R     3R    22R    72R    55R     3R     0R     0R     0R
USC00240466           0R     0R     0R     0R -7777R     4R    19R     7R -7777R     0R     0R     0R
USC00240554           0Q     0Q     0Q     0Q     0Q     2Q    34Q    27Q     3Q     0Q     0Q     0Q
USC00240743           0S     0C     0C     0C     1C    21C    97C    80C    10S -7777C     0C     0S
USC00240755           0C     0S     0S     0C -7777C     1C    18S    10S -7777S     0S     0S     0S
USC00240770           0R     0R     0R -7777S     2S    13R    61R    48R     5R -7777R     0R     0R
